BUSINESS UNIT,BUSINESS UNIT NAME,UNIT NUMBER,LEASE NUMBER, TENANT NAME , WORKFLOW DESCRIPTION ,NO OF DAYS
60023,Shops on Main,600,6002322,CARRABBA'S ITALIAN GRILL, Work in Progress ,2
597,Cochran's Crossing,0028,59739,DEFINE BODY & MIND, Work in Progress ,3
141,Hyde Park,0042,141115,HYDE PARK PEDIATRIC DENTISTRY, Work in Progress ,1
53,Welleby Plaza,10111,53014,PPG PAINTS, Work in Progress ,3
60673,Holly Park,200,6067305,ADVANCE AUTO PARTS, Manager Review ,25
90103,Weslayan Plaza East,08,9010308,BERINGS, Manager Review ,10
90103,Weslayan Plaza East,10,9010310,BERINGS WAREHOUSE, Manager Review ,10
60622,The Hub Hillcrest Market,B101,6062267,CASA MAESTOSO, Ready for JDE ,8
60738,Broadway Market,431,6073807,T-MOBILE, Ready for JDE ,8
90012,Bayhill Shopping Center,15,9001215,AU'S KITCHEN, Sent to JDE ,3
90010,Point Loma Plaza,31,9001026,DISCOVERY SHOP, One way upload in progress ,14
218,Brighten Park,00001,21889,CLOTHING CARE, One way upload in progress ,10
60733,THE VILLAGE AT HUNTER'S LAKE,A,60733001,PINK AND WHITE NAILS, Contingent Lease ,1
180,Shoppes @ 104,0032B,180017,DUNKIN DONUTS, Contingent Lease ,10
60790,Market at Springwoods Village,700,60790002,REGIONS BANK, Contingent Lease ,8
60733,THE VILLAGE AT HUNTER'S LAKE,A,60733002,HEARTLAND DENTAL, Contingent Lease ,8
313,Indio Towne Center,PARK,313003,TNT FIREWORKS, Short Term / Misc ,3
647,Newland Center,PARK,647001,TNT FIREWORKS, Short Term / Misc ,1
642,Oakbrook Plaza,1772B,642001,GELSON'S PHARMACY, Short Term / Misc ,3
139,Carmel Commons,PARK,139002,SIMPSON'S CHRISTMAS TREES, Short Term / Misc ,25
646,Rona Plaza,PARK,646001,PHANTOM FIREWORKS, Manager Review ,14
139,Carmel Commons,PARK,139003,SIMPSON'S PUMPKIN, Manager Review ,10
136,Woodcroft Shopping Center,0009,136001,VERMILION HOMESTEAD, Manager Review ,1
60673,Holly Park,260,60673001,SPIRIT HALLOWEEN, Manager Review ,3
423,Cameron Village,B3209,423002,ALUMNI HALL, Short Term / Misc ,25
174,Amerige Heights Town Center,PARK,174002,TNT FIREWORKS, Short Term / Misc ,1
645,Morningside Plaza,PARK,645002,TNT FIREWORKS, Short Term / Misc ,3
645,Morningside Plaza,PARK,645003,TNT FIREWORKS, Short Term / Misc ,25
597,Cochran's Crossing,0016,597002,ORANGETHEORY FITNESS, Short Term / Misc ,1
597,Cochran's Crossing,0015,597001,"MUMTASTIC, LLC", b ,3
60076,Apple Valley Square,PARK,60076001,RENAISSANCE FIREWORKS INC., Active Lease ,25
539,Powell Street Plaza,0020,539001,SPIRIT HALLOWEEN, Active Lease ,54
150,Bloomingdale Square,0501,150001,SPIRIT HALLOWEEN, Active Lease ,74
18,Regency Square,2424C,18009,HALLOWEEN MEGASTORE, Active Lease ,100
176,El Cerrito Plaza,J002,176001,SPIRIT HALLOWEEN, Active Lease ,88
60371,Gateway 101,PARK,60371001,GOOGLE, Active Lease ,54
649,Costa Verde Center,B101,649001,THE HALLOWEEN EXPERIENCE, Active Lease ,150
18,Regency Square,2450,18026,MUSIC & ARTS, Active Lease ,53
113,Village Center,PARK,113001,NEW BALANCE, Active Lease ,88
90087,Centre Ridge Marketplace,01,90087003,SPIRIT HALLOWEEN, Active Lease ,54
626,Strawflower Village,AK,626001,SEE'S CANDIES, Ready for JDE ,8
54,Carriage Gate,0014,54001,TALLY SMOCKAHOLICS, Ready for JDE ,10
176,El Cerrito Plaza,IM10,176003,"WESSNE'S JANITORIAL, INC.", Ready for JDE ,10
215,Dunwoody Village,PARK,215002,BIG JOHN'S CHRISTMAS TREES, Ready for JDE ,10
90104,Merchants Village,PARK,90104001,CARDINAL TREE FARM, Ready for JDE ,10
60114,Sutton Square,0021,60114001,THE CASHMERE SALE, Ready for JDE ,10
90075,Weslayan Plaza West,08,90075001,MICHAEL'S COOKIE JAR, Ready for JDE ,10
501,Cherry Grove,PARK,501003,THE TIN MAN GRILL, Active Lease ,2
136,Woodcroft Shopping Center,PARK,136002,SCOTT'S PUMPKIN PATCH, Active Lease ,2
90020,Applewood Shopping Ctr,21,90020001,MYLA JUNE JEWELRY, Active Lease ,2
90034,Roscoe Square,3324,9003404,ULTIMATE EXPOSURE, Non-JDE Transaction Review ,21
60223,Fairfax Shopping Center,200,60223001,365 BY WHOLE FOODS, X Status ,35
60056,Saugus,C200,60056001,VERIZON, X Status ,35
423,Cameron Village,B0234,423003,CAVA MEZZE GRILL, X Status ,35
60644,Preston Oaks,1010,60644001,TALBOTS COMPANY STORE, X Status ,35
639,El Camino Shopping Center,23373,639002,LASERAWAY, X Status ,35
90079,Gayton Crossing,02,90079001,PETVALU, X Status ,35
539,Powell Street Plaza,0008,539002,CARTER'S, X Status ,15
260,Shops at John's Creek,0105,260001,PINCH A PENNY(DUMMY), X Status ,15
60648,Brooklyn Station on Riverside,220,60648001,BELLEZZA NAIL SPA, X Status ,15
615,Market at Round Rock,375,615001,SOCCER CORNER, X Status ,15
60748,Garden City Park,230,60748002,PIE FIVE PIZZA, Work in Progress ,4
60567,Oak Shade Town Center,2101A,60567001,EXECUTIVE CLEANERS, Work in Progress ,4
60062,Twin City Plaza,0223,60062003,"FORMLABS, INC.", Work in Progress ,4
60646,Hilltop Village,0104,60646002,ORANGETHEORY FITNESS, Work in Progress ,4
639,El Camino Shopping Center,23391A,639004,CREAMISTRY, Work in Progress ,4
616,North Hills,1500,616002,TOMLINSON'S PET SUPPLY, Work in Progress ,4
60510,Kent Place,A1-F,60510001,LULU'S FURNITURE & DESIGN, Work in Progress ,3
145,Gardens Square,0B17,145001,PRETTY NAILS, Work in Progress ,3
90093,Saratoga Shopping Center,01,90093002,SUNOCO, Work in Progress ,3
204,Buckhead Court,0042A,204002,EUROPEAN WAX CENTER, Work in Progress ,3
90037,Willow Lake Shopping Ctr,18,90037001,ELITE NAILS, Work in Progress ,3
423,Cameron Village,F0611,423006,COASTAL KNOT BRIDAL (DUMMY), Work in Progress ,3
60622,The Hub Hillcrest Market,C212,60622004,AR WORKSHOP, Work in Progress ,1
150,Bloomingdale Square,0205,150002,TAMPA BAY DRY CLEANERS, Work in Progress ,1
60673,Holly Park,280,60673002,GUSTO FARM TO STREET, Work in Progress ,1
60621,Village Plaza,0100,60621001,CAVA, Work in Progress ,1
175,Anastasia Plaza,0030,703,SUBWAY, NNN Abstraction ,4
71,Aventura Shopping Center,A5,7146,PANNA, NNN Abstraction ,3
136,Woodcroft Shopping Center,1003,13649,KFC, NNN Abstraction ,3
148,Pine Tree Plaza,0006,14816,COAST DENTAL, NNN Abstraction ,3
60622,The Hub Hillcrest Market,G203C,6062271,FITZGERALD LIFESTYLE, NNN Abstraction ,3
60622,The Hub Hillcrest Market,STOR,6062275,IKE'S PLACE (STOR), NNN Abstraction ,3
60770,Northgate Marketplace Ph II,J01,6077010,MOD SUPER FAST PIZZA, NNN Abstraction ,1
6081002,Plaza Venezia - Phase I,7468,6081001,ROCCO'S TACOS, NNN Abstraction ,1
632,San Leandro Plaza,D2,63229,SPRINT, NNN Abstraction ,1
60644,Preston Oaks,1009B,6064425,INTERABANG BOOKS, NNN Abstraction ,3
15,Gateway Shopping Center,0183,15044,KIRKLAND'S, NNN Abstraction ,6
176,El Cerrito Plaza,I015,176002,PACIFIC DENTAL SERVICES, NNN Abstraction ,4
