BUSINESS UNIT,BUSINESS UNIT NAME,UNIT NUMBER,UNIT TYPE, SQUARE FEET , TOTAL AREA ,TOTAL UNITS
260,Shops at John's Creek,0102,LOCAL," 1,294 "," 22,507 ",9
260,Shops at John's Creek,0104,LOCAL," 1,297 "," 22,507 ",9
260,Shops at John's Creek,0108,LOCAL," 2,810 "," 22,507 ",9
260,Shops at John's Creek,0111,LOCAL," 1,616 "," 22,507 ",9
405,Crossroads Commons,2A,LOCAL," 1,591 "," 245,837 ",30
405,Crossroads Commons,2B,LOCAL," 1,803 "," 245,837 ",30
405,Crossroads Commons,3A,ANCHR," 27,838 "," 245,837 ",30
405,Crossroads Commons,3B,ANCHR," 39,247 "," 245,837 ",30
405,Crossroads Commons,4A,LOCAL," 2,265 "," 245,837 ",30
405,Crossroads Commons,4F,LOCAL," 1,600 "," 245,837 ",30
405,Crossroads Commons,5A,LOCAL," 2,375 "," 245,837 ",30
405,Crossroads Commons,5B,LOCAL," 1,400 "," 245,837 ",30
405,Crossroads Commons,5C,LOCAL," 1,599 "," 245,837 ",30
405,Crossroads Commons,5D,LOCAL," 3,376 "," 245,837 ",30
405,Crossroads Commons,6A,SUBAN," 20,152 "," 245,837 ",30
416,Clinton Park,0001,LOCAL," 2,400 "," 206,050 ",24
416,Clinton Park,0004,LOCAL," 1,120 "," 206,050 ",24
416,Clinton Park,0005,LOCAL," 1,600 "," 206,050 ",24
416,Clinton Park,0008,LOCAL," 2,500 "," 206,050 ",24
416,Clinton Park,0009,LOCAL," 7,000 "," 206,050 ",24
416,Clinton Park,0011,LOCAL," 1,500 "," 206,050 ",24
416,Clinton Park,0016,ANCHR," 43,000 "," 206,050 ",24
416,Clinton Park,0120,LOCAL," 2,660 "," 206,050 ",24
545,Westridge Village,0200,LOCAL," 2,200 "," 92,287 ",24
545,Westridge Village,0201,LOCAL," 1,700 "," 92,287 ",24
545,Westridge Village,0202,LOCAL," 1,200 "," 92,287 ",24
545,Westridge Village,0206,LOCAL," 1,750 "," 92,287 ",24
545,Westridge Village,0207,LOCAL," 1,200 "," 92,287 ",24
545,Westridge Village,0208,LOCAL," 1,000 "," 92,287 ",24
545,Westridge Village,0209,LOCAL," 1,200 "," 92,287 ",24
545,Westridge Village,0210,LOCAL," 2,123 "," 92,287 ",24
545,Westridge Village,0211,LOCAL," 2,066 "," 92,287 ",24
545,Westridge Village,0213,LOCAL," 1,400 "," 92,287 ",24
545,Westridge Village,0214,LOCAL," 1,700 "," 92,287 ",24
545,Westridge Village,0215,LOCAL," 2,400 "," 92,287 ",24
545,Westridge Village,0500,LOCAL," 1,500 "," 92,287 ",24
545,Westridge Village,0501,LOCAL," 1,000 "," 92,287 ",24
545,Westridge Village,0502A,LOCAL," 1,000 "," 92,287 ",24
545,Westridge Village,0503,LOCAL," 2,000 "," 92,287 ",24
545,Westridge Village,0550,LOCAL," 10,000 "," 92,287 ",24
60223,Fairfax Shopping Center,01,LOCAL," 1,262 "," 83,082 ",32
